category,canonical,string_to_replace,alias,ipa,priority
Weitere Begriffe,abu zurah ar-razi,abu zurah ar-razi,Abuu Zur-ah ar-Raazii,/abuː zurʕah ar.raːziː/,extended
"Tābiʿīn, Salaf & Gelehrte",Abū Ḥātim ar-Rāzī,Abū Ḥātim ar-Rāzī,Abuu Haatim ar-Raazii,/abuː ħaːtim ar.raːziː/,extended
Weitere Begriffe,Abu Hatim ar-Razi,Abu Hatim ar-Razi,Abuu Haatim ar-Raazii,/abuː ħaːtim ar.raːziː/,extended
Weitere Begriffe,abū ḥātim ar-rāzī,abū ḥātim ar-rāzī,Abuu Haatim ar-Raazii,/abuː ħaːtim ar.raːziː/,extended
Weitere Begriffe,abu hatim ar-razi,abu hatim ar-razi,Abuu Haatim ar-Raazii,/abuː ħaːtim ar.raːziː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Bukhārī,al-Bukhārī,al-Buchaarii,/al.buxaːriː/,extended
Weitere Begriffe,al-Bukhari,al-Bukhari,al-Buchaarii,/al.buxaːriː/,extended
Weitere Begriffe,al-bukhārī,al-bukhārī,al-Buchaarii,/al.buxaːriː/,extended
Weitere Begriffe,al-bukhari,al-bukhari,al-Buchaarii,/al.buxaːriː/,extended
"Tābiʿīn, Salaf & Gelehrte",Muslim ibn al-Ḥajjāǧ,Muslim ibn al-Ḥajjāǧ,Muslim ibn al-Hajjaadsch,/muslim ibn al.ħajjaːd͡ʒ/,extended
Weitere Begriffe,Muslim ibn al-Hajjaj,Muslim ibn al-Hajjaj,Muslim ibn al-Hajjaadsch,/muslim ibn al.ħajjaːd͡ʒ/,extended
Weitere Begriffe,muslim ibn al-ḥajjāǧ,muslim ibn al-ḥajjāǧ,Muslim ibn al-Hajjaadsch,/muslim ibn al.ħajjaːd͡ʒ/,extended
Weitere Begriffe,muslim ibn al-hajjaj,muslim ibn al-hajjaj,Muslim ibn al-Hajjaadsch,/muslim ibn al.ħajjaːd͡ʒ/,extended
"Tābiʿīn, Salaf & Gelehrte",Abū Dāwūd,Abū Dāwūd,Abuu Daawuud,/abuː daːwuːd/,extended
Weitere Begriffe,Abu Dawud,Abu Dawud,Abuu Daawuud,/abuː daːwuːd/,extended
Weitere Begriffe,abū dāwūd,abū dāwūd,Abuu Daawuud,/abuː daːwuːd/,extended
Weitere Begriffe,abu dawud,abu dawud,Abuu Daawuud,/abuː daːwuːd/,extended
"Tābiʿīn, Salaf & Gelehrte",at-Tirmiḏī,at-Tirmiḏī,at-Tirmidhii,/at.tirmiðiː/,extended
Weitere Begriffe,at-Tirmidhi,at-Tirmidhi,at-Tirmidhii,/at.tirmiðiː/,extended
Weitere Begriffe,at-tirmiḏī,at-tirmiḏī,at-Tirmidhii,/at.tirmiðiː/,extended
Weitere Begriffe,at-tirmidhi,at-tirmidhi,at-Tirmidhii,/at.tirmiðiː/,extended
"Tābiʿīn, Salaf & Gelehrte",an-Nasāʾī,an-Nasāʾī,an-Nasaa-ii,/an.nasaːʔiː/,extended
Weitere Begriffe,an-Nasa'i,an-Nasa'i,an-Nasaa-ii,/an.nasaːʔiː/,extended
Weitere Begriffe,an-Nasai,an-Nasai,an-Nasaa-ii,/an.nasaːʔiː/,extended
Weitere Begriffe,an-nasāʾī,an-nasāʾī,an-Nasaa-ii,/an.nasaːʔiː/,extended
Weitere Begriffe,an-nasa'i,an-nasa'i,an-Nasaa-ii,/an.nasaːʔiː/,extended
Weitere Begriffe,an-nasai,an-nasai,an-Nasaa-ii,/an.nasaːʔiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Māǧah,Ibn Māǧah,Ibn Maadscha,/ibn maːd͡ʒah/,extended
Weitere Begriffe,Ibn Majah,Ibn Majah,Ibn Maadscha,/ibn maːd͡ʒah/,extended
Weitere Begriffe,ibn māǧah,ibn māǧah,Ibn Maadscha,/ibn maːd͡ʒah/,extended
Weitere Begriffe,ibn majah,ibn majah,Ibn Maadscha,/ibn maːd͡ʒah/,extended
"Tābiʿīn, Salaf & Gelehrte",ad-Dārimī,ad-Dārimī,ad-Daarimii,/ad.daːrimiː/,extended
Weitere Begriffe,ad-Darimi,ad-Darimi,ad-Daarimii,/ad.daːrimiː/,extended
Weitere Begriffe,ad-dārimī,ad-dārimī,ad-Daarimii,/ad.daːrimiː/,extended
Weitere Begriffe,ad-darimi,ad-darimi,ad-Daarimii,/ad.daːrimiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Khuzaymah,Ibn Khuzaymah,Ibn Khuzaymah,/ibn xuzajmah/,extended
Weitere Begriffe,ibn khuzaymah,ibn khuzaymah,Ibn Khuzaymah,/ibn xuzajmah/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Ḥibbān,Ibn Ḥibbān,Ibn Hibbaan,/ibn ħibbaːn/,extended
Weitere Begriffe,Ibn Hibban,Ibn Hibban,Ibn Hibbaan,/ibn ħibbaːn/,extended
Weitere Begriffe,ibn ḥibbān,ibn ḥibbān,Ibn Hibbaan,/ibn ħibbaːn/,extended
Weitere Begriffe,ibn hibban,ibn hibban,Ibn Hibbaan,/ibn ħibbaːn/,extended
"Tābiʿīn, Salaf & Gelehrte",aṭ-Ṭabarī,aṭ-Ṭabarī,at-Tabarii,/atˤ.tˤabariː/,extended
Weitere Begriffe,at-Tabari,at-Tabari,at-Tabarii,/atˤ.tˤabariː/,extended
Weitere Begriffe,aṭ-ṭabarī,aṭ-ṭabarī,at-Tabarii,/atˤ.tˤabariː/,extended
Weitere Begriffe,at-tabari,at-tabari,at-Tabarii,/atˤ.tˤabariː/,extended
"Tābiʿīn, Salaf & Gelehrte",aṭ-Ṭaḥāwī,aṭ-Ṭaḥāwī,at-Tahaawii,/atˤ.tˤaħaːwiː/,extended
Weitere Begriffe,at-Tahawi,at-Tahawi,at-Tahaawii,/atˤ.tˤaħaːwiː/,extended
Weitere Begriffe,aṭ-ṭaḥāwī,aṭ-ṭaḥāwī,at-Tahaawii,/atˤ.tˤaħaːwiː/,extended
Weitere Begriffe,at-tahawi,at-tahawi,at-Tahaawii,/atˤ.tˤaħaːwiː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Lālakāʾī,al-Lālakāʾī,al-Laalakaa-ii,/al.laːlakaːʔiː/,extended
Weitere Begriffe,al-Lalaka'i,al-Lalaka'i,al-Laalakaa-ii,/al.laːlakaːʔiː/,extended
Weitere Begriffe,al-Lalakai,al-Lalakai,al-Laalakaa-ii,/al.laːlakaːʔiː/,extended
Weitere Begriffe,al-lālakāʾī,al-lālakāʾī,al-Laalakaa-ii,/al.laːlakaːʔiː/,extended
Weitere Begriffe,al-lalaka'i,al-lalaka'i,al-Laalakaa-ii,/al.laːlakaːʔiː/,extended
Weitere Begriffe,al-lalakai,al-lalakai,al-Laalakaa-ii,/al.laːlakaːʔiː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Āǧurrī,al-Āǧurrī,al-Aadschurrii,/al.aːd͡ʒurriː/,extended
Weitere Begriffe,al-Ajurri,al-Ajurri,al-Aadschurrii,/al.aːd͡ʒurriː/,extended
Weitere Begriffe,al-āǧurrī,al-āǧurrī,al-Aadschurrii,/al.aːd͡ʒurriː/,extended
Weitere Begriffe,al-ajurri,al-ajurri,al-Aadschurrii,/al.aːd͡ʒurriː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Baṭṭah,Ibn Baṭṭah,Ibn Battah,/ibn batˤtˤah/,extended
Weitere Begriffe,Ibn Battah,Ibn Battah,Ibn Battah,/ibn batˤtˤah/,extended
Weitere Begriffe,ibn baṭṭah,ibn baṭṭah,Ibn Battah,/ibn batˤtˤah/,extended
Weitere Begriffe,ibn battah,ibn battah,Ibn Battah,/ibn batˤtˤah/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Barbahārī,al-Barbahārī,al-Barbahaarii,/al.barbahaːriː/,extended
Weitere Begriffe,al-Barbahari,al-Barbahari,al-Barbahaarii,/al.barbahaːriː/,extended
Weitere Begriffe,al-barbahārī,al-barbahārī,al-Barbahaarii,/al.barbahaːriː/,extended
Weitere Begriffe,al-barbahari,al-barbahari,al-Barbahaarii,/al.barbahaːriː/,extended
"Tābiʿīn, Salaf & Gelehrte",ad-Dāraquṭnī,ad-Dāraquṭnī,ad-Daaraqutnii,/ad.daːraqutˤniː/,extended
Weitere Begriffe,ad-Daraqutni,ad-Daraqutni,ad-Daaraqutnii,/ad.daːraqutˤniː/,extended
Weitere Begriffe,ad-dāraquṭnī,ad-dāraquṭnī,ad-Daaraqutnii,/ad.daːraqutˤniː/,extended
Weitere Begriffe,ad-daraqutni,ad-daraqutni,ad-Daaraqutnii,/ad.daːraqutˤniː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Bayhaqī,al-Bayhaqī,al-Bayhaqii,/al.bajhaqiː/,extended
Weitere Begriffe,al-Bayhaqi,al-Bayhaqi,al-Bayhaqii,/al.bajhaqiː/,extended
Weitere Begriffe,al-bayhaqī,al-bayhaqī,al-Bayhaqii,/al.bajhaqiː/,extended
Weitere Begriffe,al-bayhaqi,al-bayhaqi,al-Bayhaqii,/al.bajhaqiː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Khaṭīb al-Baġdādī,al-Khaṭīb al-Baġdādī,al-Khatiib al-Baghdaadii,/al.xatˤiːb al.baɣdaːdiː/,extended
Weitere Begriffe,al-Khatib al-Baghdadi,al-Khatib al-Baghdadi,al-Khatiib al-Baghdaadii,/al.xatˤiːb al.baɣdaːdiː/,extended
Weitere Begriffe,al-khaṭīb al-baġdādī,al-khaṭīb al-baġdādī,al-Khatiib al-Baghdaadii,/al.xatˤiːb al.baɣdaːdiː/,extended
Weitere Begriffe,al-khatib al-baghdadi,al-khatib al-baghdadi,al-Khatiib al-Baghdaadii,/al.xatˤiːb al.baɣdaːdiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn ʿAbd al-Barr,Ibn ʿAbd al-Barr,Ibn Abd al-Barr,/ibn ʕabd al.barr/,extended
Weitere Begriffe,Ibn 'Abd al-Barr,Ibn 'Abd al-Barr,Ibn Abd al-Barr,/ibn ʕabd al.barr/,extended
Weitere Begriffe,Ibn Abd al-Barr,Ibn Abd al-Barr,Ibn Abd al-Barr,/ibn ʕabd al.barr/,extended
Weitere Begriffe,ibn ʿabd al-barr,ibn ʿabd al-barr,Ibn Abd al-Barr,/ibn ʕabd al.barr/,extended
Weitere Begriffe,ibn 'abd al-barr,ibn 'abd al-barr,Ibn Abd al-Barr,/ibn ʕabd al.barr/,extended
Weitere Begriffe,ibn abd al-barr,ibn abd al-barr,Ibn Abd al-Barr,/ibn ʕabd al.barr/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Baġawī,al-Baġawī,al-Baghawii,/al.baɣawiː/,extended
Weitere Begriffe,al-Baghawi,al-Baghawi,al-Baghawii,/al.baɣawiː/,extended
Weitere Begriffe,al-baġawī,al-baġawī,al-Baghawii,/al.baɣawiː/,extended
Weitere Begriffe,al-baghawi,al-baghawi,al-Baghawii,/al.baɣawiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Qudāmah,Ibn Qudāmah,Ibn Qudaamah,/ibn qudaːmah/,extended
Weitere Begriffe,Ibn Qudamah,Ibn Qudamah,Ibn Qudaamah,/ibn qudaːmah/,extended
Weitere Begriffe,ibn qudāmah,ibn qudāmah,Ibn Qudaamah,/ibn qudaːmah/,extended
Weitere Begriffe,ibn qudamah,ibn qudamah,Ibn Qudaamah,/ibn qudaːmah/,extended
"Tābiʿīn, Salaf & Gelehrte",ʿAbd al-Ġanī al-Maqdisī,ʿAbd al-Ġanī al-Maqdisī,-Abd al-Ghanii al-Maqdisii,/ʕabd al.ɣaniː al.maqdisiː/,extended
Weitere Begriffe,'Abd al-Ghani al-Maqdisi,'Abd al-Ghani al-Maqdisi,-Abd al-Ghanii al-Maqdisii,/ʕabd al.ɣaniː al.maqdisiː/,extended
Weitere Begriffe,Abd al-Ghani al-Maqdisi,Abd al-Ghani al-Maqdisi,-Abd al-Ghanii al-Maqdisii,/ʕabd al.ɣaniː al.maqdisiː/,extended
Weitere Begriffe,ʿabd al-ġanī al-maqdisī,ʿabd al-ġanī al-maqdisī,-Abd al-Ghanii al-Maqdisii,/ʕabd al.ɣaniː al.maqdisiː/,extended
Weitere Begriffe,'abd al-ghani al-maqdisi,'abd al-ghani al-maqdisi,-Abd al-Ghanii al-Maqdisii,/ʕabd al.ɣaniː al.maqdisiː/,extended
Weitere Begriffe,abd al-ghani al-maqdisi,abd al-ghani al-maqdisi,-Abd al-Ghanii al-Maqdisii,/ʕabd al.ɣaniː al.maqdisiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Taymiyyah,Ibn Taymiyyah,Ibn Taimiyyah,/ibn tajmijjah/,extended
Weitere Begriffe,ibn taymiyyah,ibn taymiyyah,Ibn Taimiyyah,/ibn tajmijjah/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn al-Qayyim,Ibn al-Qayyim,Ibn al-Qayyim,/ibn al.qajjim/,extended
Weitere Begriffe,ibn al-qayyim,ibn al-qayyim,Ibn al-Qayyim,/ibn al.qajjim/,extended
"Tābiʿīn, Salaf & Gelehrte",aḏ-Ḏahabī,aḏ-Ḏahabī,adh-Dhahabii,/að.ðahabiː/,extended
Weitere Begriffe,adh-Dhahabi,adh-Dhahabi,adh-Dhahabii,/að.ðahabiː/,extended
Weitere Begriffe,aḏ-ḏahabī,aḏ-ḏahabī,adh-Dhahabii,/að.ðahabiː/,extended
Weitere Begriffe,adh-dhahabi,adh-dhahabi,adh-Dhahabii,/að.ðahabiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Kaṯīr,Ibn Kaṯīr,Ibn Kathiir,/ibn kaθiːr/,extended
Weitere Begriffe,Ibn Kathir,Ibn Kathir,Ibn Kathiir,/ibn kaθiːr/,extended
Weitere Begriffe,ibn kaṯīr,ibn kaṯīr,Ibn Kathiir,/ibn kaθiːr/,extended
Weitere Begriffe,ibn kathir,ibn kathir,Ibn Kathiir,/ibn kaθiːr/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Raǧab,Ibn Raǧab,Ibn Radschab,/ibn rad͡ʒab/,extended
Weitere Begriffe,Ibn Rajab,Ibn Rajab,Ibn Radschab,/ibn rad͡ʒab/,extended
Weitere Begriffe,ibn raǧab,ibn raǧab,Ibn Radschab,/ibn rad͡ʒab/,extended
Weitere Begriffe,ibn rajab,ibn rajab,Ibn Radschab,/ibn rad͡ʒab/,extended
"Tābiʿīn, Salaf & Gelehrte",an-Nawawī,an-Nawawī,an-Nawawii,/an.nawawiː/,extended
Weitere Begriffe,an-Nawawi,an-Nawawi,an-Nawawii,/an.nawawiː/,extended
Weitere Begriffe,an-nawawī,an-nawawī,an-Nawawii,/an.nawawiː/,extended
Weitere Begriffe,an-nawawi,an-nawawi,an-Nawawii,/an.nawawiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Ḥaǧar al-ʿAsqalānī,Ibn Ḥaǧar al-ʿAsqalānī,Ibn Hadschar al-Asqalaanii,/ibn ħad͡ʒar al.ʕasqalaːniː/,extended
Weitere Begriffe,Ibn Hajar al-'Asqalani,Ibn Hajar al-'Asqalani,Ibn Hadschar al-Asqalaanii,/ibn ħad͡ʒar al.ʕasqalaːniː/,extended
Weitere Begriffe,Ibn Hajar al-Asqalani,Ibn Hajar al-Asqalani,Ibn Hadschar al-Asqalaanii,/ibn ħad͡ʒar al.ʕasqalaːniː/,extended
Weitere Begriffe,ibn ḥaǧar al-ʿasqalānī,ibn ḥaǧar al-ʿasqalānī,Ibn Hadschar al-Asqalaanii,/ibn ħad͡ʒar al.ʕasqalaːniː/,extended
Weitere Begriffe,ibn hajar al-'asqalani,ibn hajar al-'asqalani,Ibn Hadschar al-Asqalaanii,/ibn ħad͡ʒar al.ʕasqalaːniː/,extended
Weitere Begriffe,ibn hajar al-asqalani,ibn hajar al-asqalani,Ibn Hadschar al-Asqalaanii,/ibn ħad͡ʒar al.ʕasqalaːniː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Abī Šaybah,Ibn Abī Šaybah,Ibn Abii Schaybah,/ibn abiː ʃajbah/,extended
Weitere Begriffe,Ibn Abi Shaybah,Ibn Abi Shaybah,Ibn Abii Schaybah,/ibn abiː ʃajbah/,extended
Weitere Begriffe,ibn abī šaybah,ibn abī šaybah,Ibn Abii Schaybah,/ibn abiː ʃajbah/,extended
Weitere Begriffe,ibn abi shaybah,ibn abi shaybah,Ibn Abii Schaybah,/ibn abiː ʃajbah/,extended
"Tābiʿīn, Salaf & Gelehrte",ʿAbd ar-Razzāq aṣ-Ṣanʿānī,ʿAbd ar-Razzāq aṣ-Ṣanʿānī,-Abd ar-Razzaaq as-San-aanii,/ʕabd ar.razzaːq asˤ.sˤanʕaːniː/,extended
Weitere Begriffe,'Abd ar-Razzaq as-San'ani,'Abd ar-Razzaq as-San'ani,-Abd ar-Razzaaq as-San-aanii,/ʕabd ar.razzaːq asˤ.sˤanʕaːniː/,extended
Weitere Begriffe,Abd ar-Razzaq as-Sanani,Abd ar-Razzaq as-Sanani,-Abd ar-Razzaaq as-San-aanii,/ʕabd ar.razzaːq asˤ.sˤanʕaːniː/,extended
Weitere Begriffe,ʿabd ar-razzāq aṣ-ṣanʿānī,ʿabd ar-razzāq aṣ-ṣanʿānī,-Abd ar-Razzaaq as-San-aanii,/ʕabd ar.razzaːq asˤ.sˤanʕaːniː/,extended
Weitere Begriffe,'abd ar-razzaq as-san'ani,'abd ar-razzaq as-san'ani,-Abd ar-Razzaaq as-San-aanii,/ʕabd ar.razzaːq asˤ.sˤanʕaːniː/,extended
Weitere Begriffe,abd ar-razzaq as-sanani,abd ar-razzaq as-sanani,-Abd ar-Razzaaq as-San-aanii,/ʕabd ar.razzaːq asˤ.sˤanʕaːniː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Abī ʿĀṣim,Ibn Abī ʿĀṣim,Ibn Abii Aasim,/ibn abiː ʕaːsˤim/,extended
Weitere Begriffe,Ibn Abi 'Asim,Ibn Abi 'Asim,Ibn Abii Aasim,/ibn abiː ʕaːsˤim/,extended
Weitere Begriffe,Ibn Abi Asim,Ibn Abi Asim,Ibn Abii Aasim,/ibn abiː ʕaːsˤim/,extended
Weitere Begriffe,ibn abī ʿāṣim,ibn abī ʿāṣim,Ibn Abii Aasim,/ibn abiː ʕaːsˤim/,extended
Weitere Begriffe,ibn abi 'asim,ibn abi 'asim,Ibn Abii Aasim,/ibn abiː ʕaːsˤim/,extended
Weitere Begriffe,ibn abi asim,ibn abi asim,Ibn Abii Aasim,/ibn abiː ʕaːsˤim/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Naṣr al-Marwazī,Ibn Naṣr al-Marwazī,Ibn Nasr al-Marwazii,/ibn nasˤr al.marwaziː/,extended
Weitere Begriffe,Ibn Nasr al-Marwazi,Ibn Nasr al-Marwazi,Ibn Nasr al-Marwazii,/ibn nasˤr al.marwaziː/,extended
Weitere Begriffe,ibn naṣr al-marwazī,ibn naṣr al-marwazī,Ibn Nasr al-Marwazii,/ibn nasˤr al.marwaziː/,extended
Weitere Begriffe,ibn nasr al-marwazi,ibn nasr al-marwazi,Ibn Nasr al-Marwazii,/ibn nasˤr al.marwaziː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Marwazī,al-Marwazī,al-Marwazii,/al.marwaziː/,extended
Weitere Begriffe,al-Marwazi,al-Marwazi,al-Marwazii,/al.marwaziː/,extended
Weitere Begriffe,al-marwazī,al-marwazī,al-Marwazii,/al.marwaziː/,extended
Weitere Begriffe,al-marwazi,al-marwazi,al-Marwazii,/al.marwaziː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Waḍḍāḥ,Ibn Waḍḍāḥ,Ibn Waddaah,/ibn wadˤdˤaːħ/,extended
Weitere Begriffe,Ibn Waddah,Ibn Waddah,Ibn Waddaah,/ibn wadˤdˤaːħ/,extended
Weitere Begriffe,ibn waḍḍāḥ,ibn waḍḍāḥ,Ibn Waddaah,/ibn wadˤdˤaːħ/,extended
Weitere Begriffe,ibn waddah,ibn waddah,Ibn Waddaah,/ibn wadˤdˤaːħ/,extended
"Tābiʿīn, Salaf & Gelehrte",Abū ʿUbayd al-Qāsim ibn Sallām,Abū ʿUbayd al-Qāsim ibn Sallām,Abuu Ubayd al-Qaasim ibn Sallaam,/abuː ʕubajd al.qaːsim ibn sallaːm/,extended
Weitere Begriffe,Abu 'Ubayd al-Qasim ibn Sallam,Abu 'Ubayd al-Qasim ibn Sallam,Abuu Ubayd al-Qaasim ibn Sallaam,/abuː ʕubajd al.qaːsim ibn sallaːm/,extended
Weitere Begriffe,Abu Ubayd al-Qasim ibn Sallam,Abu Ubayd al-Qasim ibn Sallam,Abuu Ubayd al-Qaasim ibn Sallaam,/abuː ʕubajd al.qaːsim ibn sallaːm/,extended
Weitere Begriffe,abū ʿubayd al-qāsim ibn sallām,abū ʿubayd al-qāsim ibn sallām,Abuu Ubayd al-Qaasim ibn Sallaam,/abuː ʕubajd al.qaːsim ibn sallaːm/,extended
Weitere Begriffe,abu 'ubayd al-qasim ibn sallam,abu 'ubayd al-qasim ibn sallam,Abuu Ubayd al-Qaasim ibn Sallaam,/abuː ʕubajd al.qaːsim ibn sallaːm/,extended
Weitere Begriffe,abu ubayd al-qasim ibn sallam,abu ubayd al-qasim ibn sallam,Abuu Ubayd al-Qaasim ibn Sallaam,/abuː ʕubajd al.qaːsim ibn sallaːm/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn al-Mundhir,Ibn al-Mundhir,Ibn al-Mundhir,/ibn al.munðir/,extended
Weitere Begriffe,ibn al-mundhir,ibn al-mundhir,Ibn al-Mundhir,/ibn al.munðir/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Ḥazm,Ibn Ḥazm,Ibn Hazm,/ibn ħazm/,extended
Weitere Begriffe,Ibn Hazm,Ibn Hazm,Ibn Hazm,/ibn ħazm/,extended
Weitere Begriffe,ibn ḥazm,ibn ḥazm,Ibn Hazm,/ibn ħazm/,extended
Weitere Begriffe,ibn hazm,ibn hazm,Ibn Hazm,/ibn ħazm/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Khallāl,al-Khallāl,al-Khallaal,/al.xallaːl/,extended
Weitere Begriffe,al-Khallal,al-Khallal,al-Khallaal,/al.xallaːl/,extended
Weitere Begriffe,al-khallāl,al-khallāl,al-Khallaal,/al.xallaːl/,extended
Weitere Begriffe,al-khallal,al-khallal,al-Khallaal,/al.xallaːl/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Khiraqī,al-Khiraqī,al-Khiraqii,/al.xiraqiː/,extended
Weitere Begriffe,al-Khiraqi,al-Khiraqi,al-Khiraqii,/al.xiraqiː/,extended
Weitere Begriffe,al-khiraqī,al-khiraqī,al-Khiraqii,/al.xiraqiː/,extended
Weitere Begriffe,al-khiraqi,al-khiraqi,al-Khiraqii,/al.xiraqiː/,extended
"Tābiʿīn, Salaf & Gelehrte",as-Sarakhsī,as-Sarakhsī,as-Sarakhsii,/as.saraxsiː/,extended
Weitere Begriffe,as-Sarakhsi,as-Sarakhsi,as-Sarakhsii,/as.saraxsiː/,extended
Weitere Begriffe,as-sarakhsī,as-sarakhsī,as-Sarakhsii,/as.saraxsiː/,extended
Weitere Begriffe,as-sarakhsi,as-sarakhsi,as-Sarakhsii,/as.saraxsiː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Marġīnānī,al-Marġīnānī,al-Marghiinaanii,/al.marɣiːnaːniː/,extended
Weitere Begriffe,al-Marghinani,al-Marghinani,al-Marghiinaanii,/al.marɣiːnaːniː/,extended
Weitere Begriffe,al-marġīnānī,al-marġīnānī,al-Marghiinaanii,/al.marɣiːnaːniː/,extended
Weitere Begriffe,al-marghinani,al-marghinani,al-Marghiinaanii,/al.marɣiːnaːniː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Kāsānī,al-Kāsānī,al-Kaasaanii,/al.kaːsaːniː/,extended
Weitere Begriffe,al-Kasani,al-Kasani,al-Kaasaanii,/al.kaːsaːniː/,extended
Weitere Begriffe,al-kāsānī,al-kāsānī,al-Kaasaanii,/al.kaːsaːniː/,extended
Weitere Begriffe,al-kasani,al-kasani,al-Kaasaanii,/al.kaːsaːniː/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Qurṭubī,al-Qurṭubī,al-Qurtubii,/al.qurtˤubiː/,extended
Weitere Begriffe,al-Qurtubi,al-Qurtubi,al-Qurtubii,/al.qurtˤubiː/,extended
Weitere Begriffe,al-qurṭubī,al-qurṭubī,al-Qurtubii,/al.qurtˤubiː/,extended
Weitere Begriffe,al-qurtubi,al-qurtubi,al-Qurtubii,/al.qurtˤubiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn ʿAṭiyyah,Ibn ʿAṭiyyah,Ibn Atiyyah,/ibn ʕatˤijjah/,extended
Weitere Begriffe,Ibn 'Atiyyah,Ibn 'Atiyyah,Ibn Atiyyah,/ibn ʕatˤijjah/,extended
Weitere Begriffe,Ibn Atiyyah,Ibn Atiyyah,Ibn Atiyyah,/ibn ʕatˤijjah/,extended
Weitere Begriffe,ibn ʿaṭiyyah,ibn ʿaṭiyyah,Ibn Atiyyah,/ibn ʕatˤijjah/,extended
Weitere Begriffe,ibn 'atiyyah,ibn 'atiyyah,Ibn Atiyyah,/ibn ʕatˤijjah/,extended
Weitere Begriffe,ibn atiyyah,ibn atiyyah,Ibn Atiyyah,/ibn ʕatˤijjah/,extended
"Tābiʿīn, Salaf & Gelehrte",al-Māwardī,al-Māwardī,al-Maawardii,/al.maːwardiː/,extended
Weitere Begriffe,al-Mawardi,al-Mawardi,al-Maawardii,/al.maːwardiː/,extended
Weitere Begriffe,al-māwardī,al-māwardī,al-Maawardii,/al.maːwardiː/,extended
Weitere Begriffe,al-mawardi,al-mawardi,al-Maawardii,/al.maːwardiː/,extended
"Tābiʿīn, Salaf & Gelehrte",Abū Yaʿlā al-Farrāʾ,Abū Yaʿlā al-Farrāʾ,Abuu Ya-laa al-Farraa-,/abuː jaʕlaː al.farraːʔ/,extended
Weitere Begriffe,Abu Ya'la al-Farra',Abu Ya'la al-Farra',Abuu Ya-laa al-Farraa-,/abuː jaʕlaː al.farraːʔ/,extended
Weitere Begriffe,Abu Yala al-Farra,Abu Yala al-Farra,Abuu Ya-laa al-Farraa-,/abuː jaʕlaː al.farraːʔ/,extended
Weitere Begriffe,abū yaʿlā al-farrāʾ,abū yaʿlā al-farrāʾ,Abuu Ya-laa al-Farraa-,/abuː jaʕlaː al.farraːʔ/,extended
Weitere Begriffe,abu ya'la al-farra',abu ya'la al-farra',Abuu Ya-laa al-Farraa-,/abuː jaʕlaː al.farraːʔ/,extended
Weitere Begriffe,abu yala al-farra,abu yala al-farra,Abuu Ya-laa al-Farraa-,/abuː jaʕlaː al.farraːʔ/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Mufliḥ,Ibn Mufliḥ,Ibn Muflih,/ibn mufliħ/,extended
Weitere Begriffe,Ibn Muflih,Ibn Muflih,Ibn Muflih,/ibn mufliħ/,extended
Weitere Begriffe,ibn mufliḥ,ibn mufliḥ,Ibn Muflih,/ibn mufliħ/,extended
Weitere Begriffe,ibn muflih,ibn muflih,Ibn Muflih,/ibn mufliħ/,extended
"Tābiʿīn, Salaf & Gelehrte",Ibn Taymiyyah al-Ḥarrānī,Ibn Taymiyyah al-Ḥarrānī,Ibn Taymiyyah al-Harraanii,/ibn tajmijjah al.ħarraːniː/,extended
Weitere Begriffe,Ibn Taymiyyah al-Harrani,Ibn Taymiyyah al-Harrani,Ibn Taymiyyah al-Harraanii,/ibn tajmijjah al.ħarraːniː/,extended
