<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: dar_al_tawhid_canonical_terms.csv>index,category,input,alias,ipa,priority
480,"Tābiʿīn, Salaf & Gelehrte",al-Lālakāʾī,al-Laalakaa-ii,al.laːlakaːʔiː,extended
481,"Tābiʿīn, Salaf & Gelehrte",al-Āǧurrī,al-Aadschurrii,al.aːd͡ʒurriː,extended
482,"Tābiʿīn, Salaf & Gelehrte",Ibn Baṭṭah,Ibn Battah,ibn batˤtˤah,extended
483,"Tābiʿīn, Salaf & Gelehrte",al-Barbahārī,al-Barbahaarii,al.barbahaːriː,extended
484,"Tābiʿīn, Salaf & Gelehrte",ad-Dāraquṭnī,ad-Daaraqutnii,ad.daːraqutˤniː,extended
485,"Tābiʿīn, Salaf & Gelehrte",al-Bayhaqī,al-Bayhaqii,al.bajhaqiː,extended
486,"Tābiʿīn, Salaf & Gelehrte",al-Khaṭīb al-Baġdādī,al-Khatiib al-Baghdaadii,al.xatˤiːb al.baɣdaːdiː,extended
487,"Tābiʿīn, Salaf & Gelehrte",Ibn ʿAbd al-Barr,Ibn Abd al-Barr,ibn ʕabd al.barr,extended
488,"Tābiʿīn, Salaf & Gelehrte",al-Baġawī,al-Baghawii,al.baɣawiː,extended
489,"Tābiʿīn, Salaf & Gelehrte",Ibn Qudāmah,Ibn Qudaamah,ibn qudaːmah,extended
490,"Tābiʿīn, Salaf & Gelehrte",ʿAbd al-Ġanī al-Maqdisī,-Abd al-Ghanii al-Maqdisii,ʕabd al.ɣaniː al.maqdisiː,extended
491,"Tābiʿīn, Salaf & Gelehrte",Ibn Taymiyyah,Ibn Taimiyyah,ibn tajmijjah,extended
492,"Tābiʿīn, Salaf & Gelehrte",Ibn al-Qayyim,Ibn al-Qayyim,ibn al.qajjim,extended
493,"Tābiʿīn, Salaf & Gelehrte",aḏ-Ḏahabī,adh-Dhahabii,að.ðahabiː,extended
494,"Tābiʿīn, Salaf & Gelehrte",Ibn Kaṯīr,Ibn Kathiir,ibn kaθiːr,extended
495,"Tābiʿīn, Salaf & Gelehrte",Ibn Raǧab,Ibn Radschab,ibn rad͡ʒab,extended
496,"Tābiʿīn, Salaf & Gelehrte",an-Nawawī,an-Nawawii,an.nawawiː,extended
497,"Tābiʿīn, Salaf & Gelehrte",Ibn Ḥaǧar al-ʿAsqalānī,Ibn Hadschar al-Asqalaanii,ibn ħad͡ʒar al.ʕasqalaːniː,extended
498,"Tābiʿīn, Salaf & Gelehrte",Ibn Abī Šaybah,Ibn Abii Schaybah,ibn abiː ʃajbah,extended
499,"Tābiʿīn, Salaf & Gelehrte",ʿAbd ar-Razzāq aṣ-Ṣanʿānī,-Abd ar-Razzaaq as-San-aanii,ʕabd ar.razzaːq asˤ.sˤanʕaːniː,extended
500,"Tābiʿīn, Salaf & Gelehrte",Ibn Abī ʿĀṣim,Ibn Abii Aasim,ibn abiː ʕaːsˤim,extended
501,"Tābiʿīn, Salaf & Gelehrte",Ibn Naṣr al-Marwazī,Ibn Nasr al-Marwazii,ibn nasˤr al.marwaziː,extended
502,"Tābiʿīn, Salaf & Gelehrte",al-Marwazī,al-Marwazii,al.marwaziː,extended
503,"Tābiʿīn, Salaf & Gelehrte",Ibn Waḍḍāḥ,Ibn Waddaah,ibn wadˤdˤaːħ,extended
504,"Tābiʿīn, Salaf & Gelehrte",Abū ʿUbayd al-Qāsim ibn Sallām,Abuu Ubayd al-Qaasim ibn Sallaam,abuː ʕubajd al.qaːsim ibn sallaːm,extended
505,"Tābiʿīn, Salaf & Gelehrte",Ibn al-Mundhir,Ibn al-Mundhir,ibn al.munðir,extended
506,"Tābiʿīn, Salaf & Gelehrte",Ibn Ḥazm,Ibn Hazm,ibn ħazm,extended
507,"Tābiʿīn, Salaf & Gelehrte",al-Khallāl,al-Khallaal,al.xallaːl,extended
508,"Tābiʿīn, Salaf & Gelehrte",al-Khiraqī,al-Khiraqii,al.xiraqiː,extended
509,"Tābiʿīn, Salaf & Gelehrte",as-Sarakhsī,as-Sarakhsii,as.saraxsiː,extended
510,"Tābiʿīn, Salaf & Gelehrte",al-Marġīnānī,al-Marghiinaanii,al.marɣiːnaːniː,extended
511,"Tābiʿīn, Salaf & Gelehrte",al-Kāsānī,al-Kaasaanii,al.kaːsaːniː,extended
512,"Tābiʿīn, Salaf & Gelehrte",al-Qurṭubī,al-Qurtubii,al.qurtˤubiː,extended
513,"Tābiʿīn, Salaf & Gelehrte",Ibn ʿAṭiyyah,Ibn Atiyyah,ibn ʕatˤijjah,extended
514,"Tābiʿīn, Salaf & Gelehrte",al-Māwardī,al-Maawardii,al.maːwardiː,extended
515,"Tābiʿīn, Salaf & Gelehrte",Abū Yaʿlā al-Farrāʾ,Abuu Ya-laa al-Farraa-,abuː jaʕlaː al.farraːʔ,extended
516,"Tābiʿīn, Salaf & Gelehrte",Ibn Mufliḥ,Ibn Muflih,ibn mufliħ,extended
517,"Tābiʿīn, Salaf & Gelehrte",Ibn Taymiyyah al-Ḥarrānī,Ibn Taymiyyah al-Harraanii,ibn tajmijjah al.ħarraːniː,extended
518,"Tābiʿīn, Salaf & Gelehrte",Muḥammad ibn ʿAbd al-Wahhāb,Muhammad ibn Abd al-Wahhaab,muħammad ibn ʕabd al.wahhaːb,extended
519,"Tābiʿīn, Salaf & Gelehrte",ʿAbd ar-Raḥmān ibn Ḥasan,-Abd ar-Rahmaan ibn Hasan,ʕabd ar.raħmaːn ibn ħasan,extended
520,"Tābiʿīn, Salaf & Gelehrte",Sulaymān ibn ʿAbdillāh Āl aš-Šaykh,Sulaymaan ibn Abdillaah Aal asch-Schaykh,sulajmaːn ibn ʕabdillaːh aːl aʃ.ʃajx,extended
521,"Tābiʿīn, Salaf & Gelehrte",Ḥamad ibn ʿAtīq,Hamad ibn Atiiq,ħamad ibn ʕatiːq,extended
522,"Tābiʿīn, Salaf & Gelehrte",ʿAbd al-Laṭīf ibn ʿAbd ar-Raḥmān,-Abd al-Latiif ibn Abd ar-Rahmaan,ʕabd al.latˤiːf ibn ʕabd ar.raħmaːn,extended
523,Fiqh & ʿIbādāt,Fiqh,Fiqh,fiqh,extended
524,Fiqh & ʿIbādāt,Uṣūl al-Fiqh,Usuul al-Fiqh,usˤuːl al.fiqh,extended
525,Fiqh & ʿIbādāt,ʿIbādah,-Ibaadah,ʕibaːdah,extended
526,Fiqh & ʿIbādāt,ʿIbādāt,-Ibaadaat,ʕibaːdaːt,extended
527,Fiqh & ʿIbādāt,Ṭahārah,Tahaarah,tˤahaːrah,extended
528,Fiqh & ʿIbādāt,Wuḍūʾ,Wuduu,wudˤuːʔ,extended
529,Fiqh & ʿIbādāt,Ġusl,Ghusl,ɣusl,extended
530,Fiqh & ʿIbādāt,Tayammum,Tayammum,tajammum,extended
531,Fiqh & ʿIbādāt,Naǧāsah,Nadschaasah,nad͡ʒaːsah,extended
532,Fiqh & ʿIbādāt,Ḥadaṯ,Hadath,ħadaθ,extended
533,Fiqh & ʿIbādāt,Ǧanābah,Dschanaabah,d͡ʒanaːbah,extended
534,Fiqh & ʿIbādāt,Ḥayḍ,Hayd,ħajdˤ,extended
535,Fiqh & ʿIbādāt,Nifās,Nifaas,nifaːs,extended
536,Fiqh & ʿIbādāt,Istinǧāʾ,Istindschaa-,istind͡ʒaːʔ,extended
537,Fiqh & ʿIbādāt,Siwāk,Siwaak,siwaːk,extended
538,Fiqh & ʿIbādāt,Ṣalāh,Salaah,sˤalaːh,extended
539,Fiqh & ʿIbādāt,Ṣalāt,Salaat,sˤalaːt,extended
540,Fiqh & ʿIbādāt,Fajr,Fajr,fajr,extended
541,Fiqh & ʿIbādāt,Ẓuhr,Zuhr,ðˤuhr,extended
542,Fiqh & ʿIbādāt,ʿAṣr,-Asr,ʕasˤr,extended
543,Fiqh & ʿIbādāt,Maġrib,Maghrib,maɣrib,extended
544,Fiqh & ʿIbādāt,ʿIšāʾ,-Ischaa-,ʕiʃaːʔ,extended
545,Fiqh & ʿIbādāt,Qiyām al-layl,Qiyaam al-layl,qijaːm al.lajl,extended
546,Fiqh & ʿIbādāt,Tahajjud,Tahajjud,tahajjud,extended
547,Fiqh & ʿIbādāt,Witr,Witr,witr,extended
548,Fiqh & ʿIbādāt,Tarāwīḥ,Taraawiih,taraːwiːħ,extended
549,Fiqh & ʿIbādāt,Ḍuḥā,Duhaa,dˤuħaː,extended
550,Fiqh & ʿIbādāt,Istikhārah,Istikhaarah,istixaːrah,extended
551,Fiqh & ʿIbādāt,Istisqāʾ,Istisqaa-,istisqaːʔ,extended
552,Fiqh & ʿIbādāt,Kusūf,Kusuuf,kusuːf,extended
553,Fiqh & ʿIbādāt,Khushūʿ,Khushuu-,xuʃuːʕ,extended
554,Fiqh & ʿIbādāt,Takbīr,Takbiir,takbiːr,extended
555,Fiqh & ʿIbādāt,Takbīrat al-iḥrām,Takbiirat al-ihraam,takbiːrat al.iħraːm,extended
556,Fiqh & ʿIbādāt,Qiyām,Qiyaam,qijaːm,extended
557,Fiqh & ʿIbādāt,Rukūʿ,Rukuu-,rukuːʕ,extended
558,Fiqh & ʿIbādāt,Sujūd,Sujuud,sujuːd,extended
559,Fiqh & ʿIbādāt,Saǧdah,Sadschdah,sad͡ʒdah,extended
560,Fiqh & ʿIbādāt,Tašahhud,Taschahhud,taʃahhud,extended
561,Fiqh & ʿIbādāt,Taslīm,Tasliim,tasliːm,extended
562,Fiqh & ʿIbādāt,Taslim,Taslim,taslim,extended
563,Fiqh & ʿIbādāt,Imām,Imaam,imaːm,extended
564,Fiqh & ʿIbādāt,Maʾmūm,Ma-muum,maʔmuːm,extended
565,Fiqh & ʿIbādāt,Ǧamāʿah,Dschamaa-ah,d͡ʒamaːʕah,extended
566,Fiqh & ʿIbādāt,Masǧid,Masdschid,masd͡ʒid,extended
567,Fiqh & ʿIbādāt,Miḥrāb,Mihraab,miħraːb,extended
568,Fiqh & ʿIbādāt,Minbar,Minbar,minbar,extended
569,Fiqh & ʿIbādāt,Qiblah,Qiblah,qiblah,extended
570,Fiqh & ʿIbādāt,Aḏān,Adhaan,aðaːn,extended
571,Fiqh & ʿIbādāt,Iqāmah,Iqaamah,iqaːmah,extended
572,Fiqh & ʿIbādāt,Muʾaḏḏin,Mu-adhdhin,muʔaððin,extended
573,Fiqh & ʿIbādāt,Ǧumuʿah,Dschumu-ah,d͡ʒumuʕah,extended
574,Fiqh & ʿIbādāt,Khuṭbah,Khutbah,xutˤbah,extended
575,Fiqh & ʿIbādāt,Zakāh,Zakaah,zakaːh,extended
576,Fiqh & ʿIbādāt,Zakāt,Zakaat,zakaːt,extended
577,Fiqh & ʿIbādāt,Ṣadaqah,Sadaqah,sˤadaqah,extended
578,Fiqh & ʿIbādāt,Ṣadaqat al-fiṭr,Sadaqat al-fitr,sˤadaqat al.fitˤr,extended
579,Fiqh & ʿIbādāt,Zakāt al-fiṭr,Zakaat al-fitr,zakaːt al.fitˤr,extended
580,Fiqh & ʿIbādāt,Niṣāb,Nisaab,nisˤaːb,extended
581,Fiqh & ʿIbādāt,Ḥawl,Hawl,ħawl,extended
582,Fiqh & ʿIbādāt,Ṣawm,Sawm,sˤawm,extended
583,Fiqh & ʿIbādāt,Ṣiyām,Siyaam,sˤijaːm,extended
584,Fiqh & ʿIbādāt,Ramaḍān,Ramadaan,ramadˤaːn,extended
585,Fiqh & ʿIbādāt,Suḥūr,Suhuur,suħuːr,extended
586,Fiqh & ʿIbādāt,Ifṭār,Iftaar,iftˤaːr,extended
587,Fiqh & ʿIbādāt,Iʿtikāf,I-tikaaf,iʕtikaːf,extended
588,Fiqh & ʿIbādāt,Laylat al-Qadr,Laylat al-Qadr,lajlat al.qadr,extended
589,Fiqh & ʿIbādāt,Ḥaǧǧ,Hadsch,ħad͡ʒd͡ʒ,extended
590,Fiqh & ʿIbādāt,Ḥajj,Hadsch,ħajj,extended
591,Fiqh & ʿIbādāt,ʿUmrah,-Umrah,ʕumrah,extended
592,Fiqh & ʿIbādāt,Iḥrām,Ihraam,iħraːm,extended
593,Fiqh & ʿIbādāt,Mīqāt,Miiqaat,miːqaːt,extended
594,Fiqh & ʿIbādāt,Ṭawāf,Tawaaf,tˤawaːf,extended
595,Fiqh & ʿIbādāt,Saʿy,Sa-y,saʕj,extended
596,Fiqh & ʿIbādāt,Ṣafā,Safaa,sˤafaː,extended
597,Fiqh & ʿIbādāt,Marwah,Marwah,marwah,extended
598,Fiqh & ʿIbādāt,ʿArafah,-Arafah,ʕarafah,extended
599,Fiqh & ʿIbādāt,Muzdalifah,Muzdalifah,muzdalifah,extended
600,Fiqh & ʿIbādāt,Minā,Minaa,minaː,extended
601,Fiqh & ʿIbādāt,Ǧamarāt,Dschamaraat,d͡ʒamaraːt,extended
602,Fiqh & ʿIbādāt,Talbiyah,Talbiyah,talbijah,extended
603,Fiqh & ʿIbādāt,Hady,Hady,hadj,extended
604,Fiqh & ʿIbādāt,Uḍḥiyah,Udhiyah,udˤħijah,extended
605,Fiqh & ʿIbādāt,ʿAqīqah,-Aqiiqah,ʕaqiːqah,extended
606,Fiqh & ʿIbādāt,Nikāḥ,Nikaah,nikaːħ,extended
607,Fiqh & ʿIbādāt,Walīmah,Waliimah,waliːmah,extended
608,Fiqh & ʿIbādāt,Mahr,Mahr,mahr,extended
609,Fiqh & ʿIbādāt,Walī,Walii,waliː,extended
610,Fiqh & ʿIbādāt,Ṭalāq,Talaaq,tˤalaːq,extended
611,Fiqh & ʿIbādāt,Khulʿ,Khul-,xulʕ,extended
612,Fiqh & ʿIbādāt,ʿIddah,-Iddah,ʕiddah,extended
613,Fiqh & ʿIbādāt,Raḍāʿah,Radaa-ah,radˤaːʕah,extended
614,Fiqh & ʿIbādāt,Nafaqah,Nafaqah,nafaqah,extended
615,Fiqh & ʿIbādāt,Janāzah,Janaazah,d͡ʒanaːzah,extended
616,Fiqh & ʿIbādāt,Ǧanāzah,Dschanaazah,d͡ʒanaːzah,extended
617,Fiqh & ʿIbādāt,Kafan,Kafan,kafan,extended
618,Fiqh & ʿIbādāt,Wasiyyah,Wasiyyah,wasijjah,extended
619,Fiqh & ʿIbādāt,Waṣiyyah,Wasiyyah,wasˤijjah,extended
620,Fiqh & ʿIbādāt,Mīrāṯ,Miiraath,miːraːθ,extended
621,Fiqh & ʿIbādāt,Farāʾiḍ,Faraa-id,faraːʔidˤ,extended
622,Fiqh & ʿIbādāt,Ribā,Ribaa,ribaː,extended
623,Fiqh & ʿIbādāt,Bayʿ,Bay-,bajʕ,extended
624,Fiqh & ʿIbādāt,Širkah,Schirkah,ʃirkah,extended
625,Fiqh & ʿIbādāt,Ijārah,Ijaarah,ijaːrah,extended
626,Fiqh & ʿIbādāt,Qarḍ,Qard,qardˤ,extended
627,Fiqh & ʿIbādāt,Rahn,Rahn,rahn,extended
628,Fiqh & ʿIbādāt,Waqf,Waqf,waqf,extended
629,Fiqh & ʿIbādāt,Hibah,Hibah,hibah,extended
630,Fiqh & ʿIbādāt,Luqaṭah,Luqatah,luqatˤah,extended
631,Fiqh & ʿIbādāt,Ḏabḥ,Dhabh,ðabħ,extended
632,Fiqh & ʿIbādāt,Ḏabīḥah,Dhabiihah,ðabiːħah,extended
633,Fiqh & ʿIbādāt,Ṣayd,Sayd,sˤajd,extended
634,Fiqh & ʿIbādāt,Ḥalāl,Halaal,ħalaːl,extended
635,Fiqh & ʿIbādāt,Ḥarām,Haraam,ħaraːm,extended
636,Fiqh & ʿIbādāt,Makrūh,Makruuh,makruːh,extended
637,Fiqh & ʿIbādāt,Mubāḥ,Mubaah,mubaːħ,extended
638,Fiqh & ʿIbādāt,Mustaḥabb,Mustahabb,mustaħabb,extended
639,Fiqh & ʿIbādāt,Mandūb,Manduub,manduːb,extended
640,Fiqh & ʿIbādāt,Wāǧib,Waadschib,waːd͡ʒib,extended
641,Fiqh & ʿIbādāt,Farḍ,Fard,fardˤ,extended
642,Fiqh & ʿIbādāt,Farḍ ʿayn,Fard ayn,fardˤ ʕajn,extended
643,Fiqh & ʿIbādāt,Farḍ kifāyah,Fard kifaayah,fardˤ kifaːjah,extended
644,Fiqh & ʿIbādāt,Sunnah muʾakkadah,Sunnah mu-akkadah,sunnah muʔakkadah,extended
645,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ḥukm,Hukm,ħukm,extended
646,"Uṣūl, Recht, ʿAqīdah & Manhaj",Aḥkām,Ahkaam,aħkaːm,extended
647,"Uṣūl, Recht, ʿAqīdah & Manhaj",Dalīl,Daliil,daliːl,extended
648,"Uṣūl, Recht, ʿAqīdah & Manhaj",Adillah,Adillah,adillah,extended
649,"Uṣūl, Recht, ʿAqīdah & Manhaj",Naṣṣ,Nass,nasˤsˤ,extended
650,"Uṣūl, Recht, ʿAqīdah & Manhaj",Nuṣūṣ,Nusuus,nusˤuːsˤ,extended
651,"Uṣūl, Recht, ʿAqīdah & Manhaj",Iǧmāʿ,Idschmaa,id͡ʒmaːʕ,extended
652,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ijmāʿ,Idschmaa,ijmaːʕ,extended
653,"Uṣūl, Recht, ʿAqīdah & Manhaj",Qiyās,Qiyaas,qijaːs,extended
654,"Uṣūl, Recht, ʿAqīdah & Manhaj",Iǧtihād,Idschtihaad,id͡ʒtihaːd,extended
655,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ijtihād,Idschtihaad,ijtihaːd,extended
656,"Uṣūl, Recht, ʿAqīdah & Manhaj",Mujtahid,Mujtahid,mujtahid,extended
657,"Uṣūl, Recht, ʿAqīdah & Manhaj",Muqallid,Muqallid,muqallid,extended
658,"Uṣūl, Recht, ʿAqīdah & Manhaj",Taqlīd,Taqliid,taqliːd,extended
659,"Uṣūl, Recht, ʿAqīdah & Manhaj",Fatwā,Fatwaa,fatwaː,extended
660,"Uṣūl, Recht, ʿAqīdah & Manhaj",Fatāwā,Fataawaa,fataːwaː,extended
661,"Uṣūl, Recht, ʿAqīdah & Manhaj",Muftī,Muftii,muftiː,extended
662,"Uṣūl, Recht, ʿAqīdah & Manhaj",Qāḍī,Qaadii,qaːdˤiː,extended
663,"Uṣūl, Recht, ʿAqīdah & Manhaj",Šahādah,Schahaadah,ʃahaːdah,extended
664,"Uṣūl, Recht, ʿAqīdah & Manhaj",Bayyinah,Bayyinah,bajjinah,extended
665,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ḥujjah,Hujjah,ħujjah,extended
666,"Uṣūl, Recht, ʿAqīdah & Manhaj",Iqāmat al-ḥujjah,Iqaamat al-hujjah,iqaːmat al.ħujjah,extended
667,"Uṣūl, Recht, ʿAqīdah & Manhaj",ʿUḏr,-Udhr,ʕuðr,extended
668,"Uṣūl, Recht, ʿAqīdah & Manhaj",Jahl,Jahl,d͡ʒahl,extended
669,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ǧahl,Dschahl,d͡ʒahl,extended
670,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ikrāh,Ikraah,ikraːh,extended
671,"Uṣūl, Recht, ʿAqīdah & Manhaj",Khaṭaʾ,Khata-,xatˤaʔ,extended
672,"Uṣūl, Recht, ʿAqīdah & Manhaj",Nisyān,Nisyaan,nisjaːn,extended
673,"Uṣūl, Recht, ʿAqīdah & Manhaj",ʿAmd,-Amd,ʕamd,extended
674,"Uṣūl, Recht, ʿAqīdah & Manhaj",Darūrah,Daruurah,daruːrah,extended
675,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ḍarūrah,Daruurah,dˤaruːrah,extended
676,"Uṣūl, Recht, ʿAqīdah & Manhaj",Maṣlaḥah,Maslahah,masˤlaħah,extended
677,"Uṣūl, Recht, ʿAqīdah & Manhaj",Mafsadah,Mafsadah,mafsadah,extended
678,"Uṣūl, Recht, ʿAqīdah & Manhaj",Sadd aḏ-ḏarāʾiʿ,Sadd adh-dharaa-i-,sadd að.ðaraːʔiʕ,extended
679,"Uṣūl, Recht, ʿAqīdah & Manhaj",Istiḥsān,Istihsaan,istiħsaːn,extended
680,"Uṣūl, Recht, ʿAqīdah & Manhaj",Istiṣḥāb,Istishaab,istisˤħaːb,extended
681,"Uṣūl, Recht, ʿAqīdah & Manhaj",ʿUrf,-Urf,ʕurf,extended
682,"Uṣūl, Recht, ʿAqīdah & Manhaj",Qāʿidah fiqhiyyah,Qaa-idah fiqhiyyah,qaːʕidah fiqhijjah,extended
683,"Uṣūl, Recht, ʿAqīdah & Manhaj",Uṣūl,Usuul,usˤuːl,extended
684,"Uṣūl, Recht, ʿAqīdah & Manhaj",Furūʿ,Furuu-,furuːʕ,extended
685,"Uṣūl, Recht, ʿAqīdah & Manhaj",ʿIllah,-Illah,ʕillah,extended
686,"Uṣūl, Recht, ʿAqīdah & Manhaj",Sabab,Sabab,sabab,extended
687,"Uṣūl, Recht, ʿAqīdah & Manhaj",Šarṭ,Schart,ʃartˤ,extended
688,"Uṣūl, Recht, ʿAqīdah & Manhaj",Māniʿ,Maani-,maːniʕ,extended
689,"Uṣūl, Recht, ʿAqīdah & Manhaj",ʿAzīmah,-Aziimah,ʕaziːmah,extended
690,"Uṣūl, Recht, ʿAqīdah & Manhaj",Rukhṣah,Rukhsah,ruxsˤah,extended
691,"Uṣūl, Recht, ʿAqīdah & Manhaj",Istiwaʾ,Istiwa-,istiwaʔ,extended
692,"Uṣūl, Recht, ʿAqīdah & Manhaj",Istiwa,Istiwa,istiwa,extended
693,"Uṣūl, Recht, ʿAqīdah & Manhaj",ʿUluw,-Uluw,ʕuluw,extended
694,"Uṣūl, Recht, ʿAqīdah & Manhaj",Kalāmullāh,Kalaamullaah,kalaːmullaːh,extended
695,"Uṣūl, Recht, ʿAqīdah & Manhaj",Kalām Allāh,Kalaam Allaah,kalaːm allaːh,extended
696,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ṣifāt,Sifaat,sˤifaːt,extended
697,"Uṣūl, Recht, ʿAqīdah & Manhaj",Asmāʾ,Asmaa-,asmaːʔ,extended
698,"Uṣūl, Recht, ʿAqīdah & Manhaj",Qaḍāʾ wa-qadar,Qadaa wa-qadar,qadˤaːʔ wa.qadar,extended
699,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ruʾyat Allāh,Ru-yat Allaah,ruʔjat allaːh,extended
700,"Uṣūl, Recht, ʿAqīdah & Manhaj",Walāʾ wa-l-barāʾ,Walaa wa-l-baraa-,walaːʔ wa.l.baraːʔ,extended
701,"Uṣūl, Recht, ʿAqīdah & Manhaj",al-Walāʾ wa-l-Barāʾ,al-Walaa wa-l-Baraa-,al.walaːʔ wa.l.baraːʔ,extended
702,"Uṣūl, Recht, ʿAqīdah & Manhaj",al-Īmān yazīdu wa-yanquṣ,al-Iimaan yaziidu wa-yanqus,al.iːmaːn jaziːdu wa.janqusˤ,extended
703,"Uṣūl, Recht, ʿAqīdah & Manhaj",Khawāriǧ,Khawaaridsch,xawaːrid͡ʒ,extended
704,"Uṣūl, Recht, ʿAqīdah & Manhaj",Murǧiʾah,Murdschi-ah,murd͡ʒiʔah,extended
705,"Uṣūl, Recht, ʿAqīdah & Manhaj",Muʿtazilah,Mu-tazilah,muʕtazilah,extended
706,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ǧahmiyyah,Dschahmiyyah,d͡ʒahmijjah,extended
707,"Uṣūl, Recht, ʿAqīdah & Manhaj",Qadariyyah,Qadariyyah,qadarijjah,extended
708,"Uṣūl, Recht, ʿAqīdah & Manhaj",Jabriyyah,Jabriyyah,d͡ʒabrijjah,extended
709,"Uṣūl, Recht, ʿAqīdah & Manhaj",Rāfiḍah,Raafidah,raːfidˤah,extended
710,"Uṣūl, Recht, ʿAqīdah & Manhaj",Šīʿah,Schii-ah,ʃiːʕah,extended
711,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ṣūfiyyah,Suufiyyah,sˤuːfijjah,extended
712,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ašʿariyyah,Asch-ariyyah,aʃʕarijjah,extended
713,"Uṣūl, Recht, ʿAqīdah & Manhaj",Māturīdiyyah,Maaturiidiyyah,maːturiːdijjah,extended
714,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ḥanafī,Hanafii,ħanafiː,extended
715,"Uṣūl, Recht, ʿAqīdah & Manhaj",Mālikī,Maalikii,maːlikiː,extended
716,"Uṣūl, Recht, ʿAqīdah & Manhaj",Šāfiʿī,Schaafi-ii,ʃaːfiʕiː,extended
717,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ḥanbalī,Hanbalii,ħanbaliː,extended
718,"Uṣūl, Recht, ʿAqīdah & Manhaj",Madhhab,Madhhab,maðhab,extended
719,"Uṣūl, Recht, ʿAqīdah & Manhaj",Maḏhab,Madhhab,maðhab,extended
720,"Uṣūl, Recht, ʿAqīdah & Manhaj",Dār al-Islām,Daar al-Islaam,daːr al.islaːm,extended
721,"Uṣūl, Recht, ʿAqīdah & Manhaj",Dār al-Kufr,Daar al-Kufr,daːr al.kufr,extended
722,"Uṣūl, Recht, ʿAqīdah & Manhaj",Dār al-Ḥarb,Daar al-Harb,daːr al.ħarb,extended
723,"Uṣūl, Recht, ʿAqīdah & Manhaj",Dār ar-Riddah,Daar ar-Riddah,daːr ar.riddah,extended
724,"Uṣūl, Recht, ʿAqīdah & Manhaj",Hiǧrah,Hidschrah,hid͡ʒrah,extended
725,"Uṣūl, Recht, ʿAqīdah & Manhaj",Hijrah,Hidschrah,hijrah,extended
726,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ǧihād,Dschihaad,d͡ʒihaːd,extended
727,"Uṣūl, Recht, ʿAqīdah & Manhaj",Jihād,Dschihaad,d͡ʒihaːd,extended
728,"Uṣūl, Recht, ʿAqīdah & Manhaj",Amr bi-l-maʿrūf,Amr bi-l-ma-ruuf,amr bi.l.maʕruːf,extended
729,"Uṣūl, Recht, ʿAqīdah & Manhaj",Nahy ʿan al-munkar,Nahy an al-munkar,nahj ʕan al.munkar,extended
730,"Uṣūl, Recht, ʿAqīdah & Manhaj",Daʿwah,Da-uah,daʕwah,extended
731,"Uṣūl, Recht, ʿAqīdah & Manhaj",Dāʿī,Daa-ii,daːʕiː,extended
732,"Uṣūl, Recht, ʿAqīdah & Manhaj",Duʿāt,Du-aat,duʕaːt,extended
733,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ghayrah,Ghayrah,ɣajrah,extended
734,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ġayrah,Ghayrah,ɣajrah,extended
735,"Uṣūl, Recht, ʿAqīdah & Manhaj",Ḥayāʾ,Hayaa-,ħajaːʔ,extended
736,"Uṣūl, Recht, ʿAqīdah & Manhaj",Adab,Adab,adab,extended
737,"Uṣūl, Recht, ʿAqīdah & Manhaj",Akhlāq,Akhlaaq,axlaːq,extended
738,"Herzenshandlungen, Duʿāʾ & Spiritualität",Duʿāʾ,Du-aa,duʕaːʔ,extended
739,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ḏikr,Dhikr,ðikr,extended
740,"Herzenshandlungen, Duʿāʾ & Spiritualität",Dhikr,Dhikr,ðikr,extended
741,"Herzenshandlungen, Duʿāʾ & Spiritualität",Istighfār,Istighfaar,istiɣfaːr,extended
742,"Herzenshandlungen, Duʿāʾ & Spiritualität",Tawbah,Tawbah,tawbah,extended
743,"Herzenshandlungen, Duʿāʾ & Spiritualität",Taqwā,Taqwaa,taqwaː,extended
744,"Herzenshandlungen, Duʿāʾ & Spiritualität",Tawakkul,Tawakkul,tawakkul,extended
745,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ṣabr,Sabr,sˤabr,extended
746,"Herzenshandlungen, Duʿāʾ & Spiritualität",Šukr,Schukr,ʃukr,extended
747,"Herzenshandlungen, Duʿāʾ & Spiritualität",Ikhlāṣ,Ikhlaas,ixlaːsˤ,extended
